match_id,match_name,kickoff,actual_score,portfolio_name,portfolio_style,pre_match_rank,pre_match_score,total_stake,net_profit,roi,hit_count,loss_count,push_count,best_score_path,actual_score_path,covered_actual_score,zero_risk_triggered,one_goal_deviation_failure,recommendation_rank_pre_match,actual_profit_rank_post_match,recomputed_with_current_model
2026_06_24_Czech_Republic_Mexico,捷克 vs 墨西哥,06/24/2026 19:00,0:3,推荐组合,System,1,44,100.0,-100.0,-1.0,0,1,0,0:1,three_plus_goal_win,False,True,False,1,2,False
2026_06_24_Czech_Republic_Mexico,捷克 vs 墨西哥,06/24/2026 19:00,0:3,第2组合,System,2,44,100.0,-100.0,-1.0,0,2,0,0:1,three_plus_goal_win,False,True,False,2,3,False
2026_06_24_Czech_Republic_Mexico,捷克 vs 墨西哥,06/24/2026 19:00,0:3,第3组合,System,3,44,100.0,-100.0,-1.0,0,1,0,0:1,three_plus_goal_win,False,True,False,3,4,False
2026_06_24_Czech_Republic_Mexico,捷克 vs 墨西哥,06/24/2026 19:00,0:3,第4组合,System,4,44,100.0,-100.0,-1.0,0,3,0,0:1,three_plus_goal_win,False,True,False,4,5,False
2026_06_24_Czech_Republic_Mexico,捷克 vs 墨西哥,06/24/2026 19:00,0:3,第5组合,System,5,44,100.0,-100.0,-1.0,0,1,0,0:1,three_plus_goal_win,False,True,False,5,6,False
2026_06_24_Czech_Republic_Mexico,捷克 vs 墨西哥,06/24/2026 19:00,0:3,第6组合,System,6,42,100.0,-100.0,-1.0,1,9,0,0:0,three_plus_goal_win,False,True,False,6,7,False
2026_06_24_Czech_Republic_Mexico,捷克 vs 墨西哥,06/24/2026 19:00,0:3,第7组合,System,7,42,100.0,-100.0,-1.0,0,1,0,0:0,three_plus_goal_win,False,True,False,7,8,False
2026_06_24_Czech_Republic_Mexico,捷克 vs 墨西哥,06/24/2026 19:00,0:3,第8组合,System,8,42,100.0,-100.0,-1.0,0,1,0,0:0,three_plus_goal_win,False,True,False,8,9,False
2026_06_24_Czech_Republic_Mexico,捷克 vs 墨西哥,06/24/2026 19:00,0:3,第9组合,System,9,42,100.0,-100.0,-1.0,0,2,0,0:0,three_plus_goal_win,False,True,False,9,10,False
2026_06_24_Morocco_Haiti,摩洛哥 vs 海地,06/24/2026 18:00,4:2,第5组合,System,5,44,1800.0,992.0,0.551,1,0,0,2:0,two_goal_win,True,False,False,5,1,False
2026_06_24_Morocco_Haiti,摩洛哥 vs 海地,06/24/2026 18:00,4:2,第3组合,System,3,45,1800.0,640.0,0.356,2,0,0,2:0,two_goal_win,True,False,False,3,2,False
2026_06_24_Morocco_Haiti,摩洛哥 vs 海地,06/24/2026 18:00,4:2,第2组合,System,2,45,1800.0,288.0,0.16,1,0,0,2:0,two_goal_win,True,False,False,2,3,False
2026_06_24_Morocco_Haiti,摩洛哥 vs 海地,06/24/2026 18:00,4:2,推荐组合,System,1,46,1800.0,-94.0,-0.052,1,1,0,2:0,two_goal_win,False,False,False,1,4,False
2026_06_24_Morocco_Haiti,摩洛哥 vs 海地,06/24/2026 18:00,4:2,第4组合,System,4,44,1800.0,-445.0,-0.247,2,2,0,3:0,two_goal_win,False,False,False,4,5,False
2026_06_24_Morocco_Haiti,摩洛哥 vs 海地,06/24/2026 18:00,4:2,第6组合,System,6,44,1800.0,-640.0,-0.356,1,1,0,2:0,two_goal_win,False,False,False,6,6,False
